\begin{tabular}{llrr}
\toprule
{} &                                 Substrate &  UniProt &  SwissProt \\
\midrule
CHEBI:24636  &                                    proton &    672.0 &      551.0 \\
CHEBI:29103  &                             potassium(1+) &    296.0 &      234.0 \\
CHEBI:29108  &                               calcium(2+) &    265.0 &      199.0 \\
CHEBI:29101  &                                sodium(1+) &    243.0 &      200.0 \\
CHEBI:17996  &                                  chloride &    188.0 &      115.0 \\
CHEBI:16189  &                                   sulfate &     67.0 &       38.0 \\
CHEBI:29105  &                                  zinc(2+) &     66.0 &       60.0 \\
CHEBI:28938  &                                  ammonium &     30.0 &       26.0 \\
CHEBI:57986  &                            riboflavin(1-) &     25.0 &       25.0 \\
CHEBI:15377  &                                     water &     25.0 &       19.0 \\
CHEBI:17632  &                                   nitrate &     24.0 &       23.0 \\
CHEBI:29033  &                                  iron(2+) &     23.0 &       18.0 \\
CHEBI:49552  &                                copper(1+) &     20.0 &       16.0 \\
CHEBI:29036  &                                copper(2+) &     19.0 &       16.0 \\
CHEBI:36080  &                                   protein &     19.0 &       21.0 \\
CHEBI:30623  &                               oxalate(2-) &     16.0 &        9.0 \\
CHEBI:30616  &                                   ATP(4-) &     14.0 &       10.0 \\
CHEBI:456216 &                                   ADP(3-) &     14.0 &       10.0 \\
CHEBI:17754  &                                  glycerol &     13.0 &        8.0 \\
CHEBI:24337  &                    glutathione derivative &     11.0 &       11.0 \\
CHEBI:33384  &                       L-serine zwitterion &     11.0 &       10.0 \\
CHEBI:63063  &                            cadmium cation &     10.0 &       10.0 \\
CHEBI:61082  &                lipid-linked peptidoglycan &     10.0 &       10.0 \\
CHEBI:35491  &                      L-cystine zwitterion &      9.0 &       10.0 \\
CHEBI:30411  &                                 cobalamin &      9.0 &        9.0 \\
CHEBI:57834  &                            spermidine(3+) &      8.0 &        8.0 \\
CHEBI:59888  &        gamma-aminobutyric acid zwitterion &      8.0 &        6.0 \\
CHEBI:57427  &                      L-leucine zwitterion &      8.0 &        8.0 \\
CHEBI:60039  &                      L-proline zwitterion &      8.0 &        9.0 \\
CHEBI:57705  &      UDP-N-acetyl-alpha-D-glucosamine(2-) &      8.0 &        8.0 \\
CHEBI:46819  &                                urate salt &      8.0 &        8.0 \\
CHEBI:17992  &                                   sucrose &      8.0 &        8.0 \\
CHEBI:59789  &        S-adenosyl-L-methionine zwitterion &      8.0 &        4.0 \\
CHEBI:58367  &                         UDP-D-glucose(2-) &      8.0 &        7.0 \\
CHEBI:50211  &                                   retinol &      8.0 &        4.0 \\
CHEBI:58315  &                     L-tyrosine zwitterion &      8.0 &        8.0 \\
CHEBI:29242  &                              arsenite(1-) &      7.0 &        5.0 \\
CHEBI:57586  &                                 biotinate &      7.0 &        9.0 \\
CHEBI:25155  &                          manganese cation &      7.0 &        7.0 \\
CHEBI:26977  &                               thiosulfate &      7.0 &        4.0 \\
CHEBI:38290  &                               L-ascorbate &      7.0 &        2.0 \\
CHEBI:15318  &                                  xanthine &      6.0 &        7.0 \\
CHEBI:58070  &                      dehydroascorbide(1-) &      6.0 &        5.0 \\
CHEBI:15927  &                     N-ribosylnicotinamide &      6.0 &        6.0 \\
CHEBI:35780  &                             phosphate ion &      6.0 &        6.0 \\
CHEBI:17544  &                         hydrogencarbonate &      6.0 &        5.0 \\
CHEBI:24040  &               flavin adenine dinucleotide &      6.0 &        5.0 \\
CHEBI:58045  &                   L-isoleucine zwitterion &      6.0 &        6.0 \\
CHEBI:33118  &                                boric acid &      5.0 &        5.0 \\
CHEBI:13389  &                                       NAD &      5.0 &        5.0 \\
CHEBI:77847  &             glycerol 1-phosphodiester(1-) &      5.0 &        5.0 \\
CHEBI:17306  &                                   maltose &      5.0 &        6.0 \\
CHEBI:61304  &                          phosphoglycerate &      5.0 &        4.0 \\
CHEBI:45725  &                              spermine(4+) &      5.0 &        5.0 \\
CHEBI:17051  &                                  fluoride &      5.0 &        3.0 \\
CHEBI:456215 &            adenosine 5'-monophosphate(2-) &      5.0 &        4.0 \\
CHEBI:57925  &                         glutathionate(1-) &      5.0 &        6.0 \\
CHEBI:58339  &    3'-phosphonato-5'-adenylyl sulfate(4-) &      5.0 &        5.0 \\
CHEBI:26441  &                     pyrimidine nucleotide &      5.0 &        3.0 \\
CHEBI:24265  &                                 gluconate &      5.0 &        5.0 \\
CHEBI:29034  &                                  iron(3+) &      5.0 &        5.0 \\
CHEBI:17562  &                                  cytidine &      5.0 &        5.0 \\
CHEBI:15904  &                     long-chain fatty acid &      4.0 &        3.0 \\
CHEBI:30031  &                             succinate(2-) &      4.0 &        4.0 \\
CHEBI:30413  &                                      heme &      4.0 &        3.0 \\
CHEBI:59905  &                            dopaminium(1+) &      4.0 &        3.0 \\
CHEBI:77805  &                          enterobactin(1-) &      4.0 &        4.0 \\
CHEBI:25197  &                            mercury cation &      4.0 &        4.0 \\
CHEBI:58095  &                L-phenylalanine zwitterion &      4.0 &        4.0 \\
CHEBI:57932  &                   D-methionine zwitterion &      4.0 &        4.0 \\
CHEBI:58048  &                   L-asparagine zwitterion &      4.0 &        3.0 \\
CHEBI:30823  &                                    oleate &      4.0 &        4.0 \\
CHEBI:50681  &                          methotrexate(2-) &      4.0 &        4.0 \\
CHEBI:16382  &                                    iodide &      4.0 &        4.0 \\
CHEBI:30849  &                               L-arabinose &      4.0 &        4.0 \\
CHEBI:18212  &                              selenite(2-) &      4.0 &        4.0 \\
