Entry	Gene ontology IDs
P61829	GO:0000276; GO:0005739; GO:0005743; GO:0005758; GO:0005829; GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0042802; GO:0045263
P10417	GO:0000209; GO:0000902; GO:0001503; GO:0001541; GO:0001656; GO:0001657; GO:0001658; GO:0001662; GO:0001776; GO:0001782; GO:0001822; GO:0001836; GO:0001952; GO:0002020; GO:0002260; GO:0002320; GO:0002326; GO:0002360; GO:0002520; GO:0002931; GO:0003014; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005741; GO:0005783; GO:0005789; GO:0005829; GO:0006470; GO:0006582; GO:0006808; GO:0006874; GO:0006915; GO:0006974; GO:0006979; GO:0007015; GO:0007409; GO:0007569; GO:0008283; GO:0008284; GO:0008285; GO:0008584; GO:0008625; GO:0008630; GO:0008631; GO:0008637; GO:0009410; GO:0009636; GO:0009791; GO:0009887; GO:0010039; GO:0010224; GO:0010332; GO:0010468; GO:0010506; GO:0010507; GO:0010523; GO:0010559; GO:0010667; GO:0014031; GO:0014042; GO:0014911; GO:0015267; GO:0016020; GO:0016248; GO:0018105; GO:0018107; GO:0019903; GO:0021747; GO:0022612; GO:0022898; GO:0030061; GO:0030097; GO:0030183; GO:0030217; GO:0030279; GO:0030307; GO:0030308; GO:0030318; GO:0030336; GO:0030890; GO:0031069; GO:0031103; GO:0031625; GO:0031647; GO:0031965; GO:0031966; GO:0032469; GO:0032835; GO:0032848; GO:0032880; GO:0032991; GO:0033033; GO:0033077; GO:0033138; GO:0033689; GO:0034097; GO:0035094; GO:0035265; GO:0040008; GO:0040018; GO:0042100; GO:0042149; GO:0042542; GO:0042802; GO:0042803; GO:0042981; GO:0043029; GO:0043066; GO:0043067; GO:0043085; GO:0043209; GO:0043375; GO:0043473; GO:0043524; GO:0043565; GO:0043583; GO:0044877; GO:0045069; GO:0045471; GO:0045636; GO:0045930; GO:0046671; GO:0046902; GO:0046930; GO:0046982; GO:0048041; GO:0048066; GO:0048070; GO:0048087; GO:0048471; GO:0048536; GO:0048538; GO:0048545; GO:0048546; GO:0048589; GO:0048599; GO:0048743; GO:0048753; GO:0048873; GO:0050790; GO:0050853; GO:0051384; GO:0051400; GO:0051402; GO:0051434; GO:0051607; GO:0051721; GO:0051726; GO:0051881; GO:0051924; GO:0070059; GO:0071310; GO:0071456; GO:0072593; GO:0097192; GO:0098609; GO:0140297; GO:2000134; GO:2000378; GO:2000811; GO:2001234; GO:2001240; GO:2001243
Q9V9Y4	GO:0004888; GO:0005231; GO:0005765; GO:0005887; GO:0007165; GO:0007268; GO:0016324; GO:0030594; GO:0031526; GO:0031528; GO:0031902; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0043568; GO:0045202; GO:0050877; GO:0061778; GO:0061797; GO:0071294; GO:0098794; GO:0106219; GO:1902476; GO:1902495; GO:1904263; GO:2001151
Q9LT02	GO:0005524; GO:0005783; GO:0005789; GO:0006874; GO:0006875; GO:0009536; GO:0009846; GO:0010073; GO:0010152; GO:0016021; GO:0016036; GO:0016887; GO:0019829; GO:0046872; GO:0048867
P33302	GO:0005524; GO:0005739; GO:0005886; GO:0008559; GO:0009410; GO:0016021; GO:0030003; GO:0042802; GO:0046677; GO:0046898; GO:0071944; GO:1990961
Q9P0L9	GO:0001581; GO:0005227; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005783; GO:0005886; GO:0005887; GO:0006812; GO:0007224; GO:0008092; GO:0009415; GO:0009986; GO:0015269; GO:0016020; GO:0016021; GO:0031410; GO:0033040; GO:0034704; GO:0035725; GO:0042802; GO:0043231; GO:0043235; GO:0050912; GO:0050915; GO:0050982; GO:0051289; GO:0051371; GO:0051393; GO:0060170; GO:0071468; GO:0071805; GO:0097730; GO:0098662
A2A259	GO:0001581; GO:0005227; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005783; GO:0005886; GO:0005887; GO:0006812; GO:0007224; GO:0008092; GO:0009415; GO:0015269; GO:0016020; GO:0031410; GO:0034703; GO:0034704; GO:0035725; GO:0042802; GO:0043231; GO:0043235; GO:0050912; GO:0050915; GO:0050982; GO:0051262; GO:0051289; GO:0051371; GO:0051393; GO:0060170; GO:0071467; GO:0071468; GO:0071805; GO:0097730; GO:0098662
Q9S7Z3	GO:0005507; GO:0005829; GO:0009536; GO:0010273; GO:0015446; GO:0015700; GO:0016756; GO:0042344; GO:0042742; GO:0044604; GO:0046685; GO:0046686; GO:0046870; GO:0046938; GO:0052544; GO:0098849
Q8TDX9	GO:0003127; GO:0005262; GO:0005929; GO:0016020; GO:0034704; GO:0050982; GO:0060170; GO:0070986; GO:0097730; GO:0098609
Q8R526	GO:0003127; GO:0005262; GO:0005929; GO:0007368; GO:0007507; GO:0016020; GO:0034704; GO:0050982; GO:0060170; GO:0060972; GO:0070986; GO:0097730
