label,Substrate,UniProt
CHEBI:17544,hydrogencarbonate,35.0
CHEBI:57986,riboflavin(1-),30.0
CHEBI:29985,L-glutamate(1-),25.0
CHEBI:15354,choline,18.0
CHEBI:58070,dehydroascorbide(1-),15.0
CHEBI:57925,glutathionate(1-),15.0
CHEBI:15361,pyruvate,14.0
CHEBI:326268,"1,4-butanediammonium",12.0
CHEBI:15355,acetylcholine,9.0
CHEBI:16947,citrate(3-),9.0
CHEBI:30823,oleate,9.0
CHEBI:58367,UDP-D-glucose(2-),9.0
CHEBI:30616,ATP(4-),9.0
CHEBI:57586,biotinate,7.0
CHEBI:30089,acetate,6.0
CHEBI:57705,UDP-N-acetyl-alpha-D-glucosamine(2-),6.0
CHEBI:24265,gluconate,6.0
CHEBI:57977,bilirubin(2-),6.0
CHEBI:77805,enterobactin(1-),6.0
CHEBI:29991,L-aspartate(1-),5.0
CHEBI:58339,3'-phosphonato-5'-adenylyl sulfate(4-),5.0
CHEBI:57597,sn-glycerol 3-phosphate(2-),4.0
CHEBI:59789,S-adenosyl-L-methionine zwitterion,4.0
CHEBI:62501,folate(2-),4.0
CHEBI:16810,2-oxoglutarate(2-),4.0
CHEBI:38290,L-ascorbate,4.0
CHEBI:15740,formate,4.0
CHEBI:57834,spermidine(3+),4.0
CHEBI:57632,UDP-alpha-D-xylose(2-),3.0
CHEBI:57288,acetyl-CoA(4-),3.0
CHEBI:456215,adenosine 5'-monophosphate(2-),3.0
CHEBI:61304,phosphoglycerate,3.0
CHEBI:71501,c-GMP-AMP(2-),3.0
CHEBI:58702,phosphonatoenolpyruvate,3.0
CHEBI:58937,thiamine(1+) diphosphate(3-),2.0
CHEBI:77847,glycerol 1-phosphodiester(1-),2.0
CHEBI:57812,CMP-N-acetyl-beta-neuraminate(2-),2.0
CHEBI:29032,(R)-pantothenate,2.0
CHEBI:17272,propionate,2.0
CHEBI:17536,allantoate,2.0
CHEBI:16150,benzoate,1.0
CHEBI:62071,2-cis-abscisate,1.0
CHEBI:25350,mevalonate,1.0
CHEBI:60903,N-(4-aminobenzoyl)-L-glutamate,1.0
CHEBI:28199,ferrienterobactin(3-),1.0
CHEBI:30031,succinate(2-),1.0
CHEBI:57761,pyridoxaminium(1+),1.0
CHEBI:58384,cadaverine(2+),1.0
CHEBI:30623,oxalate(2-),1.0
CHEBI:32544,nicotinate,1.0
CHEBI:58210,FMN(3-),1.0
CHEBI:58145,agmatinium(2+),1.0
CHEBI:57287,coenzyme A(4-),1.0
CHEBI:57990,2-dehydro-3-deoxy-D-gluconate,1.0
CHEBI:12931,D-galactonate,1.0
Total,,329.0
