label,Substrate,UniProt
CHEBI:24636,proton,444
CHEBI:29108,calcium(2+),153
CHEBI:29103,potassium(1+),146
CHEBI:17996,chloride,70
CHEBI:29101,sodium(1+),69
CHEBI:29105,zinc(2+),47
CHEBI:57986,riboflavin(1-),22
CHEBI:28938,ammonium,21
CHEBI:36080,protein,19
CHEBI:16189,sulfate,17
CHEBI:17632,nitrate,17
CHEBI:29033,iron(2+),13
CHEBI:61082,lipid-linked peptidoglycan,10
CHEBI:15377,water,8
CHEBI:15361,pyruvate,8
CHEBI:30411,cobalamin,8
CHEBI:35491,L-cystine zwitterion,8
CHEBI:326268,"1,4-butanediammonium",7
CHEBI:17306,maltose,6
CHEBI:57705,UDP-N-acetyl-alpha-D-glucosamine(2-),6
CHEBI:57586,biotinate,6
CHEBI:58367,UDP-D-glucose(2-),6
CHEBI:15354,choline,6
CHEBI:49552,copper(1+),6
CHEBI:35780,phosphate ion,5
CHEBI:17992,sucrose,5
CHEBI:24337,glutathione derivative,5
CHEBI:29036,copper(2+),5
CHEBI:29034,iron(3+),5
CHEBI:15927,N-ribosylnicotinamide,5
CHEBI:50211,retinol,4
CHEBI:16947,citrate(3-),4
CHEBI:25197,mercury cation,4
CHEBI:16199,urea,4
CHEBI:58339,3'-phosphonato-5'-adenylyl sulfate(4-),4
CHEBI:59888,gamma-aminobutyric acid zwitterion,4
CHEBI:58070,dehydroascorbide(1-),4
CHEBI:15740,formate,4
CHEBI:57932,D-methionine zwitterion,4
CHEBI:15355,acetylcholine,4
CHEBI:46911,L-ornithinium(1+),4
CHEBI:57844,L-methionine zwitterion,4
CHEBI:30849,L-arabinose,4
CHEBI:61304,phosphoglycerate,3
CHEBI:64608,GDP-fucose,3
CHEBI:60039,L-proline zwitterion,3
CHEBI:29985,L-glutamate(1-),3
CHEBI:59789,S-adenosyl-L-methionine zwitterion,3
CHEBI:32682,L-argininium(1+),3
CHEBI:57597,sn-glycerol 3-phosphate(2-),3
CHEBI:33118,boric acid,3
CHEBI:58702,phosphonatoenolpyruvate,3
CHEBI:36264,molybdate,3
CHEBI:57925,glutathionate(1-),3
CHEBI:46502,tungstate,3
CHEBI:13389,NAD,3
CHEBI:30413,heme,3
CHEBI:15904,long-chain fatty acid,3
CHEBI:17051,fluoride,3
CHEBI:16810,2-oxoglutarate(2-),3
CHEBI:25676,oligopeptide,3
CHEBI:22629,arsenate ion,3
CHEBI:15318,xanthine,3
CHEBI:37554,fatty acyl-CoA,2
CHEBI:57595,L-histidine zwitterion,2
CHEBI:24265,gluconate,2
CHEBI:24040,flavin adenine dinucleotide,2
CHEBI:58315,L-tyrosine zwitterion,2
CHEBI:57305,glycine zwitterion,2
CHEBI:25140,maltodextrin,2
CHEBI:39127,magnesium cation,2
CHEBI:46081,fluconazole,2
CHEBI:16235,guanine,2
CHEBI:58937,thiamine(1+) diphosphate(3-),2
CHEBI:17750,glycine betaine,2
CHEBI:48081,bacteriocin,2
CHEBI:16704,uridine,2
CHEBI:25155,manganese cation,2
CHEBI:17568,uracil,2
CHEBI:29242,arsenite(1-),2
CHEBI:17536,allantoate,2
CHEBI:30823,oleate,2
CHEBI:63063,cadmium cation,2
CHEBI:30616,ATP(4-),2
CHEBI:25516,nickel cation,2
CHEBI:57912,L-tryptophan zwitterion,2
CHEBI:26441,pyrimidine nucleotide,2
CHEBI:30089,acetate,2
CHEBI:57977,bilirubin(2-),2
CHEBI:30049,teichoic acid,2
CHEBI:16347,(R)-carnitine,1
CHEBI:16412,lipopolysaccharide,1
CHEBI:58095,L-phenylalanine zwitterion,1
CHEBI:16813,galactitol,1
CHEBI:58359,L-glutamine zwitterion,1
CHEBI:60836,phytochelatin,1
CHEBI:16150,benzoate,1
CHEBI:16040,cytosine,1
CHEBI:60253,silver cation,1
CHEBI:16988,D-ribose,1
CHEBI:60903,N-(4-aminobenzoyl)-L-glutamate,1
CHEBI:15889,sterol,1
CHEBI:62071,2-cis-abscisate,1
CHEBI:62436,(+)-abscisic acid D-glucopyranosyl ester,1
CHEBI:64627,microcin,1
CHEBI:67063,"poly-beta-1,6-N-acetyl-D-glucosamine",1
CHEBI:71501,c-GMP-AMP(2-),1
CHEBI:77805,enterobactin(1-),1
CHEBI:57947,creatine zwitterion,1
CHEBI:29032,(R)-pantothenate,1
CHEBI:57926,L-threonine zwitterion,1
CHEBI:17359,sulfite,1
CHEBI:28199,ferrienterobactin(3-),1
CHEBI:28163,iron(III) hydroxamate,1
CHEBI:26333,prostaglandin,1
CHEBI:30408,iron-sulfur cluster,1
CHEBI:143624,D-galactofuranose,1
CHEBI:30623,oxalate(2-),1
CHEBI:25350,mevalonate,1
CHEBI:3098,bile acid,1
CHEBI:32544,nicotinate,1
CHEBI:24592,hexuronic acid,1
CHEBI:33384,L-serine zwitterion,1
CHEBI:21168,GDP-mannose,1
CHEBI:37592,organic phosphonate,1
CHEBI:38290,L-ascorbate,1
CHEBI:45725,spermine(4+),1
CHEBI:17754,glycerol,1
CHEBI:46819,urate salt,1
CHEBI:17562,cytidine,1
CHEBI:57287,coenzyme A(4-),1
CHEBI:28793,beta-D-glucan,1
CHEBI:57427,L-leucine zwitterion,1
CHEBI:17544,hydrogencarbonate,1
CHEBI:17540,methyl beta-D-galactoside,1
CHEBI:57632,UDP-alpha-D-xylose(2-),1
CHEBI:57812,CMP-N-acetyl-beta-neuraminate(2-),1
CHEBI:77847,glycerol 1-phosphodiester(1-),1
Total,,1367
