label,Substrate,UniProt
CHEBI:24636,proton,1227
CHEBI:29108,calcium(2+),865
CHEBI:29103,potassium(1+),726
CHEBI:17996,chloride,442
CHEBI:29101,sodium(1+),266
CHEBI:29105,zinc(2+),80
CHEBI:16189,sulfate,67
CHEBI:28938,ammonium,52
CHEBI:15377,water,43
CHEBI:57986,riboflavin(1-),37
CHEBI:36080,protein,28
CHEBI:50211,retinol,28
CHEBI:24337,glutathione derivative,27
CHEBI:17632,nitrate,26
CHEBI:29033,iron(2+),24
CHEBI:15361,pyruvate,20
CHEBI:30616,ATP(4-),18
CHEBI:49552,copper(1+),17
CHEBI:16199,urea,16
CHEBI:58070,dehydroascorbide(1-),14
CHEBI:15354,choline,13
CHEBI:46911,L-ornithinium(1+),12
CHEBI:61082,lipid-linked peptidoglycan,11
CHEBI:35491,L-cystine zwitterion,11
CHEBI:29985,L-glutamate(1-),10
CHEBI:3098,bile acid,10
CHEBI:16947,citrate(3-),10
CHEBI:30413,heme,9
CHEBI:30823,oleate,9
CHEBI:30411,cobalamin,9
CHEBI:59789,S-adenosyl-L-methionine zwitterion,9
CHEBI:58367,UDP-D-glucose(2-),9
CHEBI:57705,UDP-N-acetyl-alpha-D-glucosamine(2-),8
CHEBI:326268,"1,4-butanediammonium",8
CHEBI:29036,copper(2+),8
CHEBI:58339,3'-phosphonato-5'-adenylyl sulfate(4-),8
CHEBI:57925,glutathionate(1-),8
CHEBI:46819,urate salt,8
CHEBI:57586,biotinate,8
CHEBI:17992,sucrose,7
CHEBI:57288,acetyl-CoA(4-),7
CHEBI:16810,2-oxoglutarate(2-),7
CHEBI:17306,maltose,7
CHEBI:61304,phosphoglycerate,7
CHEBI:29034,iron(3+),7
CHEBI:17544,hydrogencarbonate,7
CHEBI:30408,iron-sulfur cluster,6
CHEBI:60039,L-proline zwitterion,6
CHEBI:32682,L-argininium(1+),6
CHEBI:13389,NAD,6
CHEBI:17051,fluoride,6
CHEBI:15355,acetylcholine,6
CHEBI:15740,formate,6
CHEBI:25676,oligopeptide,5
CHEBI:15927,N-ribosylnicotinamide,5
CHEBI:35780,phosphate ion,5
CHEBI:37554,fatty acyl-CoA,5
CHEBI:25197,mercury cation,5
CHEBI:59888,gamma-aminobutyric acid zwitterion,5
CHEBI:63063,cadmium cation,5
CHEBI:64608,GDP-fucose,5
CHEBI:26441,pyrimidine nucleotide,5
CHEBI:15889,sterol,4
CHEBI:15904,long-chain fatty acid,4
CHEBI:30849,L-arabinose,4
CHEBI:57932,D-methionine zwitterion,4
CHEBI:57844,L-methionine zwitterion,4
CHEBI:57597,sn-glycerol 3-phosphate(2-),4
CHEBI:57595,L-histidine zwitterion,4
CHEBI:57305,glycine zwitterion,4
CHEBI:26333,prostaglandin,4
CHEBI:38290,L-ascorbate,4
CHEBI:33118,boric acid,4
CHEBI:48081,bacteriocin,4
CHEBI:25140,maltodextrin,4
CHEBI:57812,CMP-N-acetyl-beta-neuraminate(2-),3
CHEBI:16412,lipopolysaccharide,3
CHEBI:24040,flavin adenine dinucleotide,3
CHEBI:62501,folate(2-),3
CHEBI:46502,tungstate,3
CHEBI:16347,(R)-carnitine,3
CHEBI:24265,gluconate,3
CHEBI:39127,magnesium cation,3
CHEBI:22629,arsenate ion,3
CHEBI:60903,N-(4-aminobenzoyl)-L-glutamate,3
CHEBI:57632,UDP-alpha-D-xylose(2-),3
CHEBI:36264,molybdate,3
CHEBI:30049,teichoic acid,3
CHEBI:16704,uridine,3
CHEBI:57912,L-tryptophan zwitterion,3
CHEBI:16235,guanine,3
CHEBI:28793,beta-D-glucan,3
CHEBI:71501,c-GMP-AMP(2-),3
CHEBI:58702,phosphonatoenolpyruvate,3
CHEBI:17750,glycine betaine,3
CHEBI:15318,xanthine,3
CHEBI:25155,manganese cation,2
CHEBI:57947,creatine zwitterion,2
CHEBI:57977,bilirubin(2-),2
CHEBI:25516,nickel cation,2
CHEBI:58937,thiamine(1+) diphosphate(3-),2
CHEBI:29242,arsenite(1-),2
