label,Substrate,UniProt
CHEBI:24636,proton,587.0
CHEBI:29108,calcium(2+),209.0
CHEBI:29103,potassium(1+),193.0
CHEBI:17996,chloride,125.0
CHEBI:29101,sodium(1+),98.0
CHEBI:29105,zinc(2+),51.0
CHEBI:16189,sulfate,36.0
CHEBI:28938,ammonium,26.0
CHEBI:57986,riboflavin(1-),24.0
CHEBI:17632,nitrate,18.0
CHEBI:29033,iron(2+),16.0
CHEBI:15361,pyruvate,10.0
CHEBI:35780,phosphate ion,10.0
CHEBI:49552,copper(1+),9.0
CHEBI:15354,choline,8.0
CHEBI:29036,copper(2+),7.0
CHEBI:58367,UDP-D-glucose(2-),7.0
CHEBI:29242,arsenite(1-),7.0
CHEBI:59789,S-adenosyl-L-methionine zwitterion,7.0
CHEBI:326268,"1,4-butanediammonium",7.0
CHEBI:57586,biotinate,6.0
CHEBI:57705,UDP-N-acetyl-alpha-D-glucosamine(2-),6.0
CHEBI:29985,L-glutamate(1-),5.0
CHEBI:17051,fluoride,5.0
CHEBI:30616,ATP(4-),5.0
CHEBI:29034,iron(3+),5.0
CHEBI:61304,phosphoglycerate,4.0
CHEBI:15740,formate,4.0
CHEBI:15355,acetylcholine,4.0
CHEBI:58070,dehydroascorbide(1-),4.0
CHEBI:58339,3'-phosphonato-5'-adenylyl sulfate(4-),4.0
CHEBI:57925,glutathionate(1-),4.0
CHEBI:57834,spermidine(3+),4.0
CHEBI:25197,mercury cation,4.0
CHEBI:16810,2-oxoglutarate(2-),4.0
CHEBI:77805,enterobactin(1-),3.0
CHEBI:58702,phosphonatoenolpyruvate,3.0
CHEBI:63063,cadmium cation,3.0
CHEBI:62501,folate(2-),3.0
CHEBI:60903,N-(4-aminobenzoyl)-L-glutamate,3.0
CHEBI:38290,L-ascorbate,3.0
CHEBI:46502,tungstate,3.0
CHEBI:30823,oleate,3.0
CHEBI:36264,molybdate,3.0
CHEBI:24265,gluconate,3.0
CHEBI:16947,citrate(3-),3.0
CHEBI:39127,magnesium cation,2.0
CHEBI:17536,allantoate,2.0
CHEBI:58937,thiamine(1+) diphosphate(3-),2.0
CHEBI:17544,hydrogencarbonate,2.0
CHEBI:57977,bilirubin(2-),2.0
CHEBI:29991,L-aspartate(1-),2.0
CHEBI:30089,acetate,2.0
CHEBI:57288,acetyl-CoA(4-),2.0
CHEBI:25516,nickel cation,2.0
CHEBI:17359,sulfite,1.0
CHEBI:25155,manganese cation,1.0
CHEBI:60253,silver cation,1.0
CHEBI:62071,2-cis-abscisate,1.0
CHEBI:16301,nitrite,1.0
CHEBI:71501,c-GMP-AMP(2-),1.0
CHEBI:16150,benzoate,1.0
CHEBI:28199,ferrienterobactin(3-),1.0
CHEBI:58210,FMN(3-),1.0
CHEBI:456215,adenosine 5'-monophosphate(2-),1.0
CHEBI:29032,(R)-pantothenate,1.0
CHEBI:30031,succinate(2-),1.0
CHEBI:57812,CMP-N-acetyl-beta-neuraminate(2-),1.0
CHEBI:57761,pyridoxaminium(1+),1.0
CHEBI:57632,UDP-alpha-D-xylose(2-),1.0
CHEBI:57597,sn-glycerol 3-phosphate(2-),1.0
CHEBI:30623,oxalate(2-),1.0
CHEBI:57287,coenzyme A(4-),1.0
CHEBI:32544,nicotinate,1.0
CHEBI:77847,glycerol 1-phosphodiester(1-),1.0
Total,,1594.0
