Accession	GO_term
P61829	GO:0000276; GO:0005739; GO:0005743; GO:0005758; GO:0005829; GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0042802; GO:0045263; 
Q9V9Y4	GO:0004888; GO:0005231; GO:0005765; GO:0005887; GO:0007165; GO:0007268; GO:0016324; GO:0030594; GO:0031526; GO:0031528; GO:0031902; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0043568; GO:0045202; GO:0050877; GO:0061778; GO:0061797; GO:0071294; GO:0098794; GO:0106219; GO:1902476; GO:1902495; GO:1904263; GO:2001151; 
Q9LT02	GO:0005524; GO:0005783; GO:0005789; GO:0006874; GO:0006875; GO:0009536; GO:0009846; GO:0010073; GO:0010152; GO:0016021; GO:0016036; GO:0016887; GO:0019829; GO:0046872; GO:0048867; 
Q9P0L9	GO:0001581; GO:0005227; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005783; GO:0005886; GO:0005887; GO:0006812; GO:0007224; GO:0008092; GO:0009415; GO:0009986; GO:0015269; GO:0016020; GO:0016021; GO:0031410; GO:0033040; GO:0034704; GO:0035725; GO:0042802; GO:0043231; GO:0043235; GO:0050912; GO:0050915; GO:0050982; GO:0051289; GO:0051371; GO:0051393; GO:0060170; GO:0071468; GO:0071805; GO:0097730; GO:0098662; 
Q9S7Z3	GO:0005507; GO:0005829; GO:0009536; GO:0010273; GO:0015446; GO:0015700; GO:0016756; GO:0042344; GO:0042742; GO:0044604; GO:0046685; GO:0046686; GO:0046870; GO:0046938; GO:0052544; GO:0098849; 
Q8TDX9	GO:0003127; GO:0005262; GO:0005929; GO:0016020; GO:0034704; GO:0050982; GO:0060170; GO:0070986; GO:0097730; GO:0098609; 
Q8R526	GO:0003127; GO:0005262; GO:0005929; GO:0007368; GO:0007507; GO:0016020; GO:0034704; GO:0050982; GO:0060170; GO:0060972; GO:0070986; GO:0097730; 
Q7Z442	GO:0005262; GO:0005509; GO:0016020; GO:0016021; GO:0030246; GO:0050982; 
Q7Z443	GO:0001581; GO:0001822; GO:0005262; GO:0005886; GO:0006812; GO:0016020; GO:0030246; GO:0034703; GO:0043235; GO:0050915; GO:0050982; GO:0070062; GO:0071468; 
Q2EG98	GO:0001581; GO:0005262; GO:0005509; GO:0005886; GO:0006812; GO:0016020; GO:0030246; GO:0034703; GO:0043235; GO:0050915; GO:0050982; GO:0071468; 
